-BEGIN HEADER-
Dataset: NASA_Pandeglang_Hourly.csv
Stacking Metrics: MAE=0.213 RMSE=0.263 MAPE=5.5% R2=0.985
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 3.22 m/s, termasuk kategori angin sepoi ringan. Kecepatan tertinggi mencapai 7.84 m/s dan terendah 0.86 m/s, dengan standar deviasi 1.35 m/s. Angin cenderung paling kuat sekitar pukul 07:00 dan paling lemah sekitar pukul 12:00. Secara umum tren angin menurun menuju akhir periode. 

Model terbaik adalah XGB-LSTM Stacking dengan MAPE 5.50% dan RMSE 0.263. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;XGB_Base;XGB_LSTM_Stacked
2013;1;2;7;1,72;1,586;
2013;1;2;8;2,25;2,21;
2013;1;2;9;2,96;2,842;
2013;1;2;10;3,78;3,649;
2013;1;2;11;4,62;4,508;
2013;1;2;12;5,34;5,373;
2013;1;2;13;5,71;5,747;
2013;1;2;14;5,76;5,916;
2013;1;2;15;5,65;5,721;
2013;1;2;16;5,52;5,543;
2013;1;2;17;5,24;5,202;
2013;1;2;18;4,99;4,981;
2013;1;2;19;4,94;4,86;
2013;1;2;20;4,98;4,975;
2013;1;2;21;5,0;5,012;
2013;1;2;22;4,82;4,907;
2013;1;2;23;4,53;4,551;
2013;1;3;0;4,37;4,302;
2013;1;3;1;4,33;4,272;
2013;1;3;2;4,32;4,299;
2013;1;3;3;4,26;4,291;
2013;1;3;4;4,21;4,225;
2013;1;3;5;4,21;4,186;
2013;1;3;6;4,31;4,248;
2013;1;3;7;4,7;4,58;
2013;1;3;8;4,96;4,94;
2013;1;3;9;5,15;5,17;
2013;1;3;10;5,06;5,165;
2013;1;3;11;4,87;4,976;
2013;1;3;12;4,7;4,726;
2013;1;3;13;4,61;4,565;
2013;1;3;14;4,5;4,502;
2013;1;3;15;4,3;4,331;
2013;1;3;16;4,2;4,143;
2013;1;3;17;4,08;4,059;
2013;1;3;18;3,84;3,869;
2013;1;3;19;3,77;3,767;
2013;1;3;20;3,69;3,69;
2013;1;3;21;3,72;3,669;
2013;1;3;22;3,63;3,663;
2013;1;3;23;3,62;3,645;
2013;1;4;0;3,81;3,74;
2013;1;4;1;3,61;3,732;
2013;1;4;2;2,73;3,017;
2013;1;4;3;2,28;2,325;
2013;1;4;4;2,74;2,447;
2013;1;4;5;3,53;3,296;
2013;1;4;6;4,0;4,089;
2013;1;4;7;4,57;4,565;4,394
2013;1;4;8;5,29;5,181;4,791
2013;1;4;9;6,09;5,982;5,799
2013;1;4;10;6,75;6,713;6,503
2013;1;4;11;7,32;7,213;6,887
2013;1;4;12;7,78;7,66;7,37
2013;1;4;13;7,95;7,949;7,654
2013;1;4;14;7,82;7,872;7,534
2013;1;4;15;7,55;7,58;7,243
2013;1;4;16;7,47;7,371;6,896
2013;1;4;17;7,75;7,429;7,01
2013;1;4;18;8,17;7,917;7,506
2013;1;4;19;8,32;8,322;7,883
2013;1;4;20;8,14;8,26;7,797
2013;1;4;21;7,89;7,999;7,412
2013;1;4;22;7,7;7,694;7,328
2013;1;4;23;7,58;7,554;7,261
2013;1;5;0;7,87;7,664;7,176
2013;1;5;1;8,04;7,915;7,683
2013;1;5;2;7,74;7,855;7,741
2013;1;5;3;7,01;7,236;6,9
2013;1;5;4;6,2;6,321;6,247
