-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Stacking Metrics: MAE=0.153 RMSE=0.201 MAPE=6.26% R2=0.983
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 3.97 m/s, termasuk kategori angin sedang. Kecepatan tertinggi mencapai 6.46 m/s dan terendah 2.12 m/s, dengan standar deviasi 1.07 m/s. Angin cenderung paling kuat sekitar pukul 08:00 dan paling lemah sekitar pukul 16:00. Secara umum tren angin relatif stabil sepanjang periode. 

Model terbaik adalah XGB-LSTM Stacking dengan MAPE 6.26% dan RMSE 0.201. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;XGB_Base;XGB_LSTM_Stacked
2013;1;2;7;1,1;1,121;
2013;1;2;8;1,81;1,748;
2013;1;2;9;2,52;2,426;
2013;1;2;10;3,12;3,138;
2013;1;2;11;3,76;3,712;
2013;1;2;12;4,43;4,34;
2013;1;2;13;4,92;4,886;
2013;1;2;14;5,17;5,161;
2013;1;2;15;5,21;5,25;
2013;1;2;16;5,13;5,048;
2013;1;2;17;4,69;4,709;
2013;1;2;18;4,15;4,228;
2013;1;2;19;3,99;3,943;
2013;1;2;20;3,85;3,858;
2013;1;2;21;3,64;3,662;
2013;1;2;22;3,37;3,432;
2013;1;2;23;3,13;3,155;
2013;1;3;0;3,03;3,002;
2013;1;3;1;2,97;2,979;
2013;1;3;2;2,87;2,896;
2013;1;3;3;2,71;2,751;
2013;1;3;4;2,68;2,66;
2013;1;3;5;2,76;2,703;
2013;1;3;6;2,97;2,944;
2013;1;3;7;3,67;3,553;
2013;1;3;8;4,19;4,208;
2013;1;3;9;4,63;4,592;
2013;1;3;10;4,8;4,83;
2013;1;3;11;4,87;4,919;
2013;1;3;12;4,96;4,926;
2013;1;3;13;4,96;4,977;
2013;1;3;14;4,79;4,873;
2013;1;3;15;4,49;4,537;
2013;1;3;16;4,18;4,129;
2013;1;3;17;3,68;3,609;
2013;1;3;18;3,16;3,223;
2013;1;3;19;3,03;3,004;
2013;1;3;20;2,94;2,943;
2013;1;3;21;2,99;2,973;
2013;1;3;22;2,87;2,92;
2013;1;3;23;2,8;2,841;
2013;1;4;0;2,81;2,79;
2013;1;4;1;2,19;2,396;
2013;1;4;2;1,63;1,712;
2013;1;4;3;1,7;1,57;
2013;1;4;4;2,01;1,905;
2013;1;4;5;2,34;2,298;
