-BEGIN HEADER-
Dataset: NASA_Baron_Hourly.csv
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 3.26 m/s, termasuk kategori angin sepoi ringan. Kecepatan tertinggi mencapai 3.56 m/s dan terendah 3.12 m/s, dengan standar deviasi 0.11 m/s. Angin cenderung paling kuat sekitar pukul 14:00 dan paling lemah sekitar pukul 23:00. Secara umum tren angin menurun menuju akhir periode. 

Model terbaik adalah XGB dengan MAPE 2.06% dan RMSE 0.07. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;7;1,14;1,072;1,037;1,204;;
2013;1;2;8;1,24;1,226;1,302;1,238;;
2013;1;2;9;1,24;1,342;1,3;1,238;;
2013;1;2;10;1,24;1,328;1,303;1,288;;
2013;1;2;11;1,33;1,333;1,326;1,35;;
2013;1;2;12;1,39;1,407;1,409;1,496;;
2013;1;2;13;1,55;1,552;1,545;1,722;;
2013;1;2;14;1,97;1,832;1,921;1,95;;
2013;1;2;15;2,37;2,259;2,338;2,28;;
2013;1;2;16;2,59;2,548;2,546;2,654;;
2013;1;2;17;2,71;2,679;2,607;2,534;;
2013;1;2;18;2,64;2,631;2,643;2,824;;
2013;1;2;19;2,78;2,717;2,73;2,94;;
2013;1;2;20;2,91;2,821;2,858;2,94;;
2013;1;2;21;3,08;3,009;3,02;3,084;;
2013;1;2;22;3,29;3,187;3,224;3,084;;
2013;1;2;23;3,36;3,307;3,349;3,084;;
2013;1;3;0;3,34;3,364;3,337;2,858;;
2013;1;3;1;3,15;3,25;3,209;2,858;;
2013;1;3;2;2,86;3,013;2,951;2,858;;
2013;1;3;3;2,58;2,684;2,615;2,858;;
2013;1;3;4;2,36;2,444;2,383;2,456;;
2013;1;3;5;2,2;2,257;2,205;2,396;;
2013;1;3;6;2,56;2,416;2,454;2,406;;
2013;1;3;7;2,56;2,612;2,669;2,464;;
2013;1;3;8;2,53;2,608;2,534;2,554;;
2013;1;3;9;2,76;2,668;2,68;2,756;;
2013;1;3;10;2,85;2,864;2,885;2,87;;
2013;1;3;11;2,71;2,842;2,804;2,92;;
2013;1;3;12;2,66;2,743;2,679;2,806;;
2013;1;3;13;2,68;2,7;2,676;2,648;;
2013;1;3;14;2,67;2,708;2,687;2,572;;
2013;1;3;15;2,52;2,61;2,564;2,43;;
2013;1;3;16;2,33;2,395;2,366;2,398;;
2013;1;3;17;1,95;2,092;2,011;2,146;;
2013;1;3;18;1,59;1,737;1,662;1,806;;
2013;1;3;19;1,53;1,533;1,485;1,632;;
2013;1;3;20;1,52;1,474;1,487;1,574;;
2013;1;3;21;1,57;1,553;1,52;1,604;;
2013;1;3;22;1,66;1,63;1,667;1,604;;
2013;1;3;23;1,74;1,745;1,749;1,604;;
2013;1;4;0;1,69;1,732;1,735;1,348;;
2013;1;4;1;1,46;1,611;1,541;1,348;;
2013;1;4;2;1,24;1,36;1,279;1,348;;
2013;1;4;3;1,2;1,206;1,127;1,226;;
2013;1;4;4;1,15;1,178;1,155;1,196;;
2013;1;4;5;1,08;1,148;1,107;1,196;;
