-BEGIN HEADER-
Dataset: NASA_Baron_Hourly.csv
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 4.81 m/s, termasuk kategori angin sedang. Kecepatan tertinggi mencapai 6.90 m/s dan terendah 3.69 m/s, dengan standar deviasi 0.68 m/s. Angin cenderung paling kuat sekitar pukul 07:00 dan paling lemah sekitar pukul 05:00. Secara umum tren angin menurun menuju akhir periode. 

Model terbaik adalah XGB dengan MAPE 1.95% dan RMSE 0.081. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;GBR;XGB;KNN;LSTM;BiLSTM
2013;1;2;7;1,72;1,615;1,691;2,658;;
2013;1;2;8;2,25;2,065;2,157;2,81;;
2013;1;2;9;2,96;2,731;2,8;2,81;;
2013;1;2;10;3,78;3,437;3,575;3,032;;
2013;1;2;11;4,62;4,282;4,379;3,672;;
2013;1;2;12;5,34;5,083;5,157;5,196;;
2013;1;2;13;5,71;5,644;5,751;5,678;;
2013;1;2;14;5,76;5,81;5,807;5,678;;
2013;1;2;15;5,65;5,764;5,739;5,59;;
2013;1;2;16;5,52;5,43;5,394;5,22;;
2013;1;2;17;5,24;5,02;4,949;4,928;;
2013;1;2;18;4,99;4,899;4,999;4,752;;
2013;1;2;19;4,94;4,737;4,86;4,492;;
2013;1;2;20;4,98;4,744;4,799;4,194;;
2013;1;2;21;5,0;4,861;4,91;4,254;;
2013;1;2;22;4,82;4,832;4,857;4,254;;
2013;1;2;23;4,53;4,577;4,595;4,41;;
2013;1;3;0;4,37;4,364;4,324;5,074;;
2013;1;3;1;4,33;4,255;4,278;5,184;;
2013;1;3;2;4,32;4,255;4,264;5,184;;
2013;1;3;3;4,26;4,258;4,229;5,184;;
2013;1;3;4;4,21;4,218;4,208;5,184;;
2013;1;3;5;4,21;4,177;4,176;5,184;;
2013;1;3;6;4,31;4,356;4,384;5,184;;
2013;1;3;7;4,7;4,696;4,706;5,316;;
2013;1;3;8;4,96;4,936;4,998;5,316;;
2013;1;3;9;5,15;5,152;5,153;5,468;;
2013;1;3;10;5,06;5,15;5,125;5,498;;
2013;1;3;11;4,87;4,999;4,959;5,498;;
2013;1;3;12;4,7;4,747;4,715;5,518;;
2013;1;3;13;4,61;4,638;4,569;5,518;;
2013;1;3;14;4,5;4,524;4,496;5,518;;
2013;1;3;15;4,3;4,362;4,336;5,044;;
2013;1;3;16;4,2;4,113;4,121;4,752;;
2013;1;3;17;4,08;3,989;3,988;4,088;;
2013;1;3;18;3,84;3,919;3,941;4,048;;
2013;1;3;19;3,77;3,759;3,802;4,048;;
2013;1;3;20;3,69;3,652;3,697;4,048;;
2013;1;3;21;3,72;3,676;3,689;3,936;;
2013;1;3;22;3,63;3,637;3,678;3,936;;
2013;1;3;23;3,62;3,636;3,636;3,876;;
2013;1;4;0;3,81;3,693;3,727;4,998;;
2013;1;4;1;3,61;3,684;3,719;5,058;;
2013;1;4;2;2,73;3,178;3,053;4,712;;
2013;1;4;3;2,28;2,492;2,327;3,48;;
2013;1;4;4;2,74;2,436;2,46;2,882;;
2013;1;4;5;3,53;3,1;3,293;2,882;;
2013;1;4;6;4,0;3,991;4,046;3,17;;
2013;1;4;7;4,57;4,602;4,633;4,668;4,105;4,496
2013;1;4;8;5,29;5,103;5,164;5,502;4,809;4,885
2013;1;4;9;6,09;5,773;5,935;5,576;5,441;5,747
2013;1;4;10;6,75;6,448;6,668;5,518;6,173;6,42
2013;1;4;11;7,32;7,0;7,222;5,558;6,676;7,026
2013;1;4;12;7,78;7,503;7,367;5,566;7,026;7,553
2013;1;4;13;7,95;7,827;7,795;6,056;7,303;7,762
2013;1;4;14;7,82;7,63;7,636;6,268;7,133;7,683
2013;1;4;15;7,55;7,495;7,588;5,342;6,841;7,475
2013;1;4;16;7,47;7,254;7,397;5,494;6,511;7,026
2013;1;4;17;7,75;7,04;7,26;5,494;6,542;6,967
2013;1;4;18;8,17;7,511;7,153;5,69;7,0;7,515
2013;1;4;19;8,32;7,778;7,097;6,194;7,377;7,985
2013;1;4;20;8,14;7,726;7,182;6,194;7,337;8,0
2013;1;4;21;7,89;7,616;7,423;6,194;7,066;7,782
2013;1;4;22;7,7;7,382;7,63;6,194;6,903;7,532
2013;1;4;23;7,58;7,277;7,901;6,102;6,841;7,399
2013;1;5;0;7,87;7,439;7,74;6,878;6,78;7,329
2013;1;5;1;8,04;7,596;7,734;7,362;7,271;7,845
2013;1;5;2;7,74;7,582;7,836;7,362;6,95;7,728
2013;1;5;3;7,01;7,23;8,048;7,274;6,876;7,514
2013;1;5;4;6,2;6,51;6,562;6,452;6,052;6,421
2013;1;5;5;5,49;5,771;5,812;5,41;5,356;5,567
2013;1;5;6;5,04;5,324;5,3;5,498;5,099;5,829
2013;1;5;7;5,0;5,025;5,013;5,646;4,626;5,047
2013;1;5;8;4,98;4,955;4,961;5,646;5,032;5,111
2013;1;5;9;4,96;4,995;5,033;5,64;4,716;5,095
2013;1;5;10;4,92;4,982;4,957;5,672;4,739;5,021
2013;1;5;11;4,71;4,833;4,81;5,756;4,657;5,068
2013;1;5;12;4,39;4,552;4,513;5,722;4,226;4,794
2013;1;5;13;4,21;4,317;4,305;5,722;3,999;4,165
2013;1;5;14;4,3;4,269;4,243;4,812;3,853;4,099
2013;1;5;15;4,5;4,427;4,438;4,368;4,128;4,421
2013;1;5;16;4,64;4,56;4,584;4,112;4,308;4,428
2013;1;5;17;4,54;4,576;4,551;4,112;4,307;4,486
2013;1;5;18;4,54;4,561;4,603;4,112;4,041;4,373
2013;1;5;19;4,69;4,564;4,639;4,112;4,105;4,451
2013;1;5;20;4,75;4,699;4,714;4,112;4,325;4,683
2013;1;5;21;4,68;4,731;4,719;4,112;4,319;4,673
2013;1;5;22;4,34;4,496;4,493;4,112;4,223;4,503
2013;1;5;23;3,73;4,004;3,933;4,068;3,766;4,039
2013;1;6;0;3,2;3,426;3,293;4,93;3,148;3,309
2013;1;6;1;2,86;3,009;2,904;4,218;2,988;2,789
2013;1;6;2;2,32;2,543;2,439;3,526;2,166;2,533
2013;1;6;3;1,72;2,052;1,906;2,792;2,054;1,929
2013;1;6;4;1,23;1,483;1,362;2,468;1,084;1,141
2013;1;6;5;1,36;1,282;1,273;2,31;0,963;0,723
2013;1;6;6;3,46;2,467;2,834;2,612;1,77;1,884
2013;1;6;7;5,61;4,5;4,705;2,848;4,71;5,225
2013;1;6;8;6,07;5,749;5,977;5,052;6,794;6,385
2013;1;6;9;5,88;5,998;6,105;5,498;5,632;5,875
2013;1;6;10;5,66;5,905;5,758;5,41;5,236;5,902
2013;1;6;11;5,76;5,609;5,586;5,41;5,349;5,469
2013;1;6;12;6,01;5,738;5,792;5,558;5,229;5,619
2013;1;6;13;6,11;6,073;5,994;5,558;5,904;6,064
2013;1;6;14;6,13;6,094;6,022;5,558;5,508;5,935
2013;1;6;15;5,97;5,965;5,923;5,566;5,533;5,809
2013;1;6;16;5,64;5,746;5,656;5,196;5,197;5,534
2013;1;6;17;5,23;5,1;4,983;4,904;4,691;5,096
2013;1;6;18;5,01;4,822;4,869;4,694;4,489;5,06
2013;1;6;19;5,05;4,722;4,841;4,194;4,293;4,874
2013;1;6;20;5,26;4,97;5,035;4,194;4,536;4,756
2013;1;6;21;5,91;5,418;5,555;4,254;4,801;5,148
2013;1;6;22;6,58;5,999;6,321;4,254;5,727;6,226
2013;1;6;23;6,57;6,321;6,652;4,544;6,313;6,706
2013;1;7;0;5,73;6,318;6,224;5,316;5,815;6,242
2013;1;7;1;4,7;5,237;5,164;5,316;4,798;5,194
2013;1;7;2;4,14;4,284;4,113;5,316;3,513;3,994
2013;1;7;3;4,04;3,975;3,923;5,234;3,596;3,918
2013;1;7;4;3,97;3,911;3,92;4,778;3,681;3,892
2013;1;7;5;3,84;3,904;3,881;4,384;3,724;3,874
2013;1;7;6;3,62;3,88;3,857;4,534;3,979;4,419
2013;1;7;7;3,74;3,896;3,885;4,552;3,359;3,777
2013;1;7;8;3,87;3,942;3,879;4,162;3,726;3,785
2013;1;7;9;3,94;4,001;3,951;4,162;3,833;4,175
2013;1;7;10;4,2;4,124;4,131;4,222;3,894;4,101
2013;1;7;11;4,55;4,477;4,508;4,764;4,318;4,462
2013;1;7;12;4,69;4,737;4,73;5,672;4,488;4,717
2013;1;7;13;4,85;4,887;4,852;5,672;4,411;4,579
2013;1;7;14;5,03;5,023;4,988;5,672;4,625;4,945
2013;1;7;15;4,95;5,067;5,017;5,678;4,661;5,101
2013;1;7;16;4,7;4,772;4,678;4,752;4,412;4,529
2013;1;7;17;4,49;4,425;4,376;4,52;4,101;4,28
2013;1;7;18;4,44;4,325;4,4;4,088;3,996;4,419
2013;1;7;19;4,56;4,406;4,494;4,088;4,064;4,351
2013;1;7;20;4,68;4,598;4,605;4,048;4,216;4,504
2013;1;7;21;4,84;4,729;4,737;4,048;4,271;4,677
2013;1;7;22;4,98;4,904;4,92;4,048;4,401;4,767
2013;1;7;23;5,22;5,076;5,117;4,254;4,483;4,849
2013;1;8;0;5,58;5,459;5,478;5,502;4,852;5,231
2013;1;8;1;6,0;5,812;5,873;5,424;5,448;5,679
2013;1;8;2;6,33;6,144;6,268;5,498;5,375;6,039
2013;1;8;3;6,4;6,335;6,431;5,832;5,973;6,298
2013;1;8;4;6,16;6,315;6,206;6,212;5,651;6,053
2013;1;8;5;5,77;5,9;5,784;5,878;5,401;5,684
2013;1;8;6;5,45;5,576;5,575;5,498;5,339;6,011
2013;1;8;7;5,49;5,406;5,404;5,498;4,904;5,727
2013;1;8;8;5,57;5,419;5,493;5,646;5,351;5,454
2013;1;8;9;5,64;5,605;5,604;5,646;5,134;5,601
2013;1;8;10;6,09;5,876;5,898;5,646;5,325;5,661
2013;1;8;11;6,78;6,379;6,526;5,678;5,977;6,367
2013;1;8;12;7,39;6,993;7,114;6,098;6,498;7,182
2013;1;8;13;7,76;7,476;7,305;6,56;7,073;7,528
2013;1;8;14;7,89;7,775;7,785;7,008;7,106;7,738
2013;1;8;15;7,9;7,608;7,716;7,286;7,094;7,748
2013;1;8;16;7,64;7,518;7,615;6,922;7,062;7,454
2013;1;8;17;7,25;7,045;7,491;6,194;6,585;6,955
2013;1;8;18;7,13;6,858;7,047;6,194;6,292;6,818
2013;1;8;19;7,14;6,703;6,812;6,102;6,307;6,918
2013;1;8;20;7,12;6,757;6,924;6,102;6,365;6,934
2013;1;8;21;7,02;6,712;7,059;6,102;6,314;6,983
2013;1;8;22;6,66;6,504;6,768;6,102;6,197;6,907
2013;1;8;23;6,3;6,148;6,598;6,102;5,716;6,324
2013;1;9;0;6,09;6,079;6,085;6,642;5,493;6,048
2013;1;9;1;5,9;5,844;5,852;6,35;5,472;5,878
2013;1;9;2;5,63;5,677;5,647;6,27;4,784;5,502
2013;1;9;3;5,34;5,422;5,355;6,27;4,985;5,424
2013;1;9;4;5,34;5,21;5,177;5,93;4,612;5,002
2013;1;9;5;5,66;5,369;5,359;5,896;4,993;5,182
2013;1;9;6;6,17;6,125;6,205;5,896;5,815;6,641
2013;1;9;7;6,79;6,599;6,713;6,3;5,985;6,614
2013;1;9;8;7,45;7,091;7,151;6,766;6,892;7,047
2013;1;9;9;8,1;7,739;8,28;7,186;7,154;7,905
2013;1;9;10;8,74;8,276;8,145;7,666;7,838;8,366
2013;1;9;11;9,16;8,681;8,142;7,926;8,318;8,95
2013;1;9;12;9,44;8,683;8,144;8,024;8,351;9,362
2013;1;9;13;9,69;8,593;8,285;8,024;8,715;9,285
2013;1;9;14;9,8;8,589;8,023;7,84;8,706;9,621
2013;1;9;15;9,73;8,563;7,846;7,84;8,785;9,618
2013;1;9;16;9,66;8,553;7,787;7,778;8,56;9,133
2013;1;9;17;9,69;8,406;7,529;7,5;8,514;9,285
2013;1;9;18;9,74;8,433;7,491;7,5;8,612;9,488
2013;1;9;19;9,8;8,451;7,527;7,5;8,561;9,417
2013;1;9;20;9,78;8,438;7,617;7,11;8,712;9,694
2013;1;9;21;9,6;8,434;7,877;6,752;8,549;9,636
2013;1;9;22;9,24;8,448;8,033;6,388;8,423;9,299
2013;1;9;23;8,87;8,448;7,966;6,388;8,043;8,98
2013;1;10;0;8,52;8,501;8,163;7,926;7,786;8,628
2013;1;10;1;8,42;8,413;8,163;7,926;7,524;8,295
2013;1;10;2;8,71;8,18;8,1;7,926;7,232;8,298
2013;1;10;3;9,29;8,433;8,071;7,926;8,19;8,979
2013;1;10;4;9,66;8,504;7,937;7,926;8,677;9,392
2013;1;10;5;9,77;8,535;7,946;7,926;9,093;9,536
2013;1;10;6;9,79;8,69;8,273;8,024;9,424;10,563
2013;1;10;7;9,84;8,692;8,321;8,024;9,023;9,999
2013;1;10;8;10,14;8,643;8,532;8,024;9,478;10,197
2013;1;10;9;10,47;8,628;8,498;8,504;9,428;10,563
2013;1;10;10;10,49;8,615;8,405;8,504;9,869;10,663
2013;1;10;11;10,34;8,617;8,444;8,71;9,568;10,558
2013;1;10;12;10,23;8,617;8,444;8,888;9,348;10,504
2013;1;10;13;10,02;8,593;8,325;9,118;9,297;10,178
2013;1;10;14;9,75;8,589;8,193;9,118;8,818;10,083
2013;1;10;15;9,27;8,563;8,061;9,118;8,665;9,778
2013;1;10;16;9,12;8,553;7,916;8,182;7,899;8,786
2013;1;10;17;8,96;8,401;7,733;7,016;8,174;9,012
2013;1;10;18;8,41;8,352;7,656;7,016;7,724;8,646
2013;1;10;19;7,96;8,08;7,702;6,444;7,162;7,904
2013;1;10;20;7,73;7,67;7,813;6,1;6,907;7,897
2013;1;10;21;8,12;7,525;8,148;5,66;6,691;7,601
2013;1;10;22;8,83;7,792;8,219;5,95;7,63;8,177
2013;1;10;23;9,37;8,454;8,215;5,95;8,199;9,074
2013;1;11;0;9,61;8,618;8,438;7,972;8,737;9,457
2013;1;11;1;9,82;8,552;8,452;8,486;8,844;9,683
2013;1;11;2;9,91;8,552;8,441;8,72;8,54;9,984
2013;1;11;3;9,73;8,552;8,415;8,72;9,193;9,941
2013;1;11;4;9,33;8,535;8,24;8,72;8,447;9,415
2013;1;11;5;8,95;8,535;8,226;8,504;8,437;8,815
2013;1;11;6;9,02;8,639;8,536;7,808;8,217;9,333
2013;1;11;7;9,47;8,692;8,584;7,548;8,326;9,095
2013;1;11;8;9,85;8,643;8,532;7,548;9,217;9,908
2013;1;11;9;10,12;8,628;8,498;8,298;8,956;10,111
2013;1;11;10;10,05;8,615;8,445;8,736;9,551;10,338
2013;1;11;11;9,86;8,617;8,435;8,504;8,879;10,081
2013;1;11;12;9,76;8,617;8,435;8,474;8,896;9,976
2013;1;11;13;9,58;8,593;8,365;8,688;8,733;9,807
2013;1;11;14;9,48;8,589;8,137;8,688;8,406;9,539
2013;1;11;15;9,95;8,563;7,918;8,258;8,628;9,552
2013;1;11;16;10,73;8,553;7,789;8,258;9,196;10,123
2013;1;11;17;11,04;8,401;7,688;8,062;10,054;10,979
2013;1;11;18;10,8;8,403;7,616;7,778;9,914;11,057
2013;1;11;19;10,18;8,426;7,644;7,428;9,578;10,815
2013;1;11;20;9,46;8,434;7,767;7,428;8,809;10,106
2013;1;11;21;8,97;8,434;8,102;6,586;8,144;9,374
2013;1;11;22;8,91;8,427;8,203;6,236;7,864;8,844
2013;1;11;23;9,33;8,418;8,214;6,1;7,963;8,957
2013;1;12;0;9,68;8,554;8,412;8,486;8,617;9,523
2013;1;12;1;9,84;8,552;8,438;8,486;8,81;9,663
2013;1;12;2;9,77;8,552;8,428;8,72;8,4;9,863
2013;1;12;3;9,7;8,552;8,401;8,736;8,967;10,011
2013;1;12;4;9,53;8,535;8,226;8,504;8,538;9,678
2013;1;12;5;9,18;8,535;8,226;8,27;8,739;9,252
2013;1;12;6;8,92;8,69;8,536;7,808;8,512;9,938
2013;1;12;7;9,05;8,64;8,584;7,548;8,042;8,807
2013;1;12;8;9,25;8,643;8,532;7,548;8,76;9,438
2013;1;12;9;9,34;8,628;8,559;7,548;8,313;9,559
2013;1;12;10;9,43;8,615;8,529;7,548;8,801;9,449
2013;1;12;11;9,57;8,617;8,511;7,808;8,604;9,877
2013;1;12;12;9,61;8,617;8,511;8,044;8,822;10,027
2013;1;12;13;9,57;8,593;8,357;8,482;8,814;9,597
2013;1;12;14;9,44;8,589;8,137;8,482;8,585;9,748
2013;1;12;15;9,27;8,563;7,831;8,688;8,564;9,564
2013;1;12;16;9,1;8,553;7,789;8,184;8,076;8,849
2013;1;12;17;8,82;8,401;7,688;7,246;8,0;8,977
2013;1;12;18;8,64;8,325;7,635;6,836;7,581;8,473
2013;1;12;19;8,78;8,348;7,656;6,836;7,574;8,359
