-BEGIN HEADER-
Dataset: Baron_POWER_Point_Hourly_20230101_2026_-_Copy.csv
Forecast Summary:
Prediksi kecepatan angin untuk periode 14-05-2026 hingga 20-05-2026 menunjukkan rata-rata -998.85 m/s, termasuk kategori tenang (calm). Kecepatan tertinggi mencapai -998.85 m/s dan terendah -998.87 m/s, dengan standar deviasi 0.00 m/s. Angin cenderung paling kuat sekitar pukul 19:00 dan paling lemah sekitar pukul 17:00. Secara umum tren angin relatif stabil sepanjang periode. 

Model terbaik adalah XGB dengan MAPE 3.19% dan RMSE 0.076. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;GBR;XGB;KNN;LSTM;BiLSTM
2023;1;1;15;5,28;5,361;5,35;4,74;;
2023;1;1;16;4,13;4,457;4,161;3,624;;
2023;1;1;17;2,83;3,006;2,855;3,078;;
2023;1;1;18;2,55;2,432;2,432;2,472;;
2023;1;1;19;2,61;2,481;2,493;2,418;;
2023;1;1;20;2,72;2,568;2,642;2,482;;
2023;1;1;21;2,81;2,705;2,804;2,496;;
2023;1;1;22;2,76;2,699;2,775;2,402;;
2023;1;1;23;2,46;2,513;2,575;2,286;;
2023;1;2;0;2,27;2,325;2,325;2,198;;
2023;1;2;1;2,19;2,22;2,21;2,106;;
2023;1;2;2;2,15;2,16;2,142;2,182;;
2023;1;2;3;1,98;2,084;2,034;2,154;;
2023;1;2;4;1,97;2,009;1,969;2,186;;
2023;1;2;5;2,31;2,136;2,191;2,526;;
2023;1;2;6;3,61;3,309;3,421;3,286;;
2023;1;2;7;4,67;4,426;4,549;4,348;;
2023;1;2;8;5,66;5,185;5,485;5,238;;
2023;1;2;9;6,17;5,93;6,02;6,106;;
2023;1;2;10;6,55;6,288;6,439;6,394;;
2023;1;2;11;6,74;6,562;6,409;6,46;;
2023;1;2;12;6,69;6,576;6,579;6,32;;
2023;1;2;13;6,39;6,448;6,518;6,13;;
2023;1;2;14;5,79;5,93;5,996;5,652;;
2023;1;2;15;4,91;5,174;4,93;4,838;;
2023;1;2;16;3,59;4,079;3,824;3,688;;
2023;1;2;17;2,29;2,444;2,364;2,64;;
2023;1;2;18;2,08;2,052;2,039;2,276;;
2023;1;2;19;2,13;2,017;2,067;2,278;;
2023;1;2;20;2,14;2,097;2,111;2,264;;
2023;1;2;21;2,05;2,115;2,113;2,222;;
2023;1;2;22;1,93;2,006;1,994;2,176;;
2023;1;2;23;1,8;1,869;1,841;2,202;;
2023;1;3;0;1,85;1,847;1,824;2,198;;
2023;1;3;1;2,07;1,952;1,997;2,204;;
2023;1;3;2;2,26;2,216;2,265;2,324;;
2023;1;3;3;2,33;2,3;2,359;2,356;;
2023;1;3;4;2,34;2,39;2,343;2,278;;
2023;1;3;5;2,4;2,401;2,365;2,51;;
2023;1;3;6;3,44;3,36;3,498;3,304;;
2023;1;3;7;4,36;4,245;4,336;4,274;;
2023;1;3;8;5,33;4,878;5,243;5,208;;
2023;1;3;9;5,92;5,693;5,916;5,848;;
2023;1;3;10;6,23;6,141;6,42;6,172;;
2023;1;3;11;6,28;6,179;6,343;6,216;;
2023;1;3;12;6,04;6,004;6,158;6,058;;
2023;1;3;13;5,74;5,868;6,097;5,764;;
2023;1;3;14;5,43;5,474;5,101;5,276;;
2023;1;3;15;4,62;4,801;4,594;4,504;-60,293;-17,401
2023;1;3;16;3,52;3,856;3,583;3,446;-60,274;-17,892
2023;1;3;17;2,41;2,613;2,327;2,538;-60,309;-18,622
2023;1;3;18;2,33;2,17;2,179;2,26;-60,407;-19,569
2023;1;3;19;2,43;2,239;2,361;2,244;-60,571;-20,676
2023;1;3;20;2,28;2,325;2,352;2,208;-60,793;-21,843
2023;1;3;21;2,18;2,199;2,196;2,154;-61,066;-22,89
2023;1;3;22;2,34;2,224;2,289;2,14;-61,382;-23,531
2023;1;3;23;2,48;2,345;2,428;2,0;-61,738;-23,349
2023;1;4;0;2,61;2,577;2,559;2,144;-62,131;-21,253
2023;1;4;1;2,65;2,634;2,618;2,33;-62,261;-21,504
2023;1;4;2;2,81;2,739;2,748;2,428;-62,136;-21,233
2023;1;4;3;2,87;2,879;2,884;2,422;-61,876;-20,901
2023;1;4;4;2,35;2,593;2,562;2,29;-61,603;-20,506
2023;1;4;5;2,06;2,223;2,118;2,314;-61,356;-20,06
2023;1;4;6;2,71;2,642;2,643;3,002;-61,15;-19,573
2023;1;4;7;3,57;3,482;3,48;3,858;-60,981;-19,057
2023;1;4;8;4,77;4,405;4,632;4,734;-60,837;-18,536
2023;1;4;9;5,59;5,24;5,518;5,372;-60,706;-18,025
2023;1;4;10;5,88;5,784;5,837;5,7;-60,577;-17,553
2023;1;4;11;5,79;5,818;5,99;5,754;-60,446;-17,152
2023;1;4;12;5,54;5,608;5,413;5,576;-60,319;-16,864
2023;1;4;13;5,22;5,346;5,413;5,248;-60,205;-16,734
2023;1;4;14;4,8;4,879;4,95;4,786;-60,116;-16,797
2023;1;4;15;4,04;4,177;4,064;4,048;-60,06;-17,08
2023;1;4;16;3,09;3,331;3,166;3,148;-60,047;-17,594
2023;1;4;17;2,14;2,251;2,111;2,32;-60,084;-18,337
2023;1;4;18;2,05;2,034;1,974;2,094;-60,181;-19,286
2023;1;4;19;2,05;1,98;2,047;2,118;-60,339;-20,389
2023;1;4;20;2,01;2,015;2,029;2,094;-60,552;-21,546
2023;1;4;21;1,92;1,939;1,948;2,038;-60,814;-22,58
2023;1;4;22;1,77;1,854;1,842;1,974;-61,118;-23,202
2023;1;4;23;1,61;1,74;1,679;2,072;-61,463;-22,996
2023;1;5;0;1,54;1,65;1,576;1,964;-61,844;-20,888
2023;1;5;1;1,51;1,563;1,515;1,86;-61,984;-21,164
2023;1;5;2;1,55;1,559;1,555;1,928;-61,874;-20,907
2023;1;5;3;1,75;1,646;1,7;1,996;-61,637;-20,594
2023;1;5;4;1,83;1,782;1,869;1,99;-61,392;-20,22
2023;1;5;5;2,05;1,952;1,984;2,232;-61,175;-19,8
2023;1;5;6;3,23;2,914;3,157;2,984;-60,997;-19,336
2023;1;5;7;3,88;3,872;3,878;3,718;-60,85;-18,834
2023;1;5;8;4,41;4,301;4,477;4,354;-60,719;-18,315
2023;1;5;9;4,7;4,609;4,806;4,786;-60,593;-17,799
2023;1;5;10;5,01;4,844;4,975;5,036;-60,463;-17,325
2023;1;5;11;5,28;5,119;5,159;5,136;-60,332;-16,932
2023;1;5;12;5,29;5,215;5,391;5,056;-60,207;-16,656
2023;1;5;13;4,94;5,134;5,176;4,79;-60,095;-16,532
2023;1;5;14;4,44;4,669;4,579;4,304;-60,006;-16,588
2023;1;5;15;3,69;3,916;3,759;3,614;-59,948;-16,856
2023;1;5;16;2,95;2,997;2,912;2,818;-59,929;-17,354
2023;1;5;17;1,91;2,115;2,028;2,138;-59,96;-18,081
2023;1;5;18;1,9;1,887;1,831;1,886;-60,048;-19,015
2023;1;5;19;2,05;1,9;2,003;1,962;-60,195;-20,102
2023;1;5;20;2,21;2,155;2,186;2,066;-60,394;-21,243
2023;1;5;21;2,31;2,218;2,293;2,092;-60,642;-22,259
2023;1;5;22;2,23;2,221;2,256;2,038;-60,93;-22,857
2023;1;5;23;2,16;2,182;2,19;1,888;-61,256;-22,627
2023;1;6;0;2,11;2,148;2,078;1,768;-61,62;-20,511
2023;1;6;1;2,05;2,092;2,075;1,848;-61,759;-20,82
2023;1;6;2;2,02;2,057;2,042;1,824;-61,652;-20,584
2023;1;6;3;1,98;2,021;1,999;1,85;-61,423;-20,29
2023;1;6;4;1,97;1,977;1,978;1,87;-61,188;-19,936
