YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,1,8,25,90.56,95.98,1.66,26.57
2013,1,1,9,25.31,88.88,96,1.66,45.57
2013,1,1,10,25.45,88.12,95.99,1.8,56.17
2013,1,1,11,25.58,87.62,95.96,1.81,54.12
2013,1,1,12,25.75,86.94,95.91,1.66,47.85
2013,1,1,13,25.84,86.44,95.87,1.44,50.27
2013,1,1,14,25.77,86.88,95.82,1.18,59.88
2013,1,1,15,25.57,88.12,95.79,0.99,75.3
2013,1,1,16,25.19,90.31,95.8,0.86,96.28
2013,1,1,17,24.83,92.5,95.85,0.9,113
2013,1,1,18,24.38,94.38,95.92,0.78,108.8
2013,1,1,19,24.15,94.5,96.01,1.15,118.49
2013,1,1,20,24.06,94.5,96.08,1.42,121.5
2013,1,1,21,23.98,94.62,96.13,1.45,119.05
2013,1,1,22,23.9,94.5,96.14,1.28,116.57
2013,1,1,23,23.83,94.38,96.1,1.23,119.65
2013,1,2,0,23.77,94.31,96.04,1.31,124.82
2013,1,2,1,23.69,94.69,95.97,1.39,132.95
2013,1,2,2,23.63,95.25,95.91,1.62,143.85
2013,1,2,3,23.66,95.75,95.88,2.1,157.25
2013,1,2,4,23.75,95.69,95.87,2.57,166.64
2013,1,2,5,23.82,95.5,95.9,2.87,172.33
2013,1,2,6,23.89,95.44,95.94,2.92,172.93
2013,1,2,7,24.17,95.06,96.01,2.86,170.87
2013,1,2,8,24.58,94.25,96.06,2.71,173.37
2013,1,2,9,24.96,92.69,96.07,2.66,178.49
2013,1,2,10,25.19,91.75,96.04,2.18,183.49
2013,1,2,11,25.4,90.5,95.98,1.98,201.09
2013,1,2,12,25.53,89.62,95.89,2.23,214.02
2013,1,2,13,25.6,88.69,95.83,2.96,215.75
2013,1,2,14,25.56,88.38,95.77,3.94,216.69
2013,1,2,15,25.39,89.69,95.77,4.65,218.24
2013,1,2,16,25.13,92,95.81,4.71,218.13
2013,1,2,17,24.89,93.94,95.9,3.94,215.96
2013,1,2,18,24.55,95.44,95.99,2.87,214.69
2013,1,2,19,24.32,95.94,96.06,2.7,211.76
2013,1,2,20,24.21,95.81,96.14,2.57,212.34
2013,1,2,21,24.15,95.44,96.2,2.48,217.05
2013,1,2,22,24.04,95.06,96.19,2.32,224.18
2013,1,2,23,23.87,94.75,96.16,2.22,230.71
2013,1,3,0,23.62,94.56,96.1,2.16,234.87
2013,1,3,1,23.37,94.25,96.05,2.17,236.02
2013,1,3,2,23.15,94.06,96.02,2.17,233.62
2013,1,3,3,23.01,94.06,96,2.17,229.09
2013,1,3,4,22.92,94.19,96,2.19,225.14
2013,1,3,5,22.88,94.19,96.02,2.3,226.24
2013,1,3,6,23.08,93.56,96.07,2.6,227.55
2013,1,3,7,23.66,92.12,96.13,3.24,225.39
2013,1,3,8,24.26,90.06,96.16,3.7,224.57
2013,1,3,9,24.93,86.75,96.17,4.09,225.85
2013,1,3,10,25.62,83.19,96.13,4.26,225.45
2013,1,3,11,26.23,80.06,96.08,4.01,222.63
2013,1,3,12,26.77,77.56,96.01,3.55,219.82
2013,1,3,13,26.98,76.62,95.93,3.08,216.64
2013,1,3,14,27.08,76.81,95.85,2.58,212.87
2013,1,3,15,27.01,77.25,95.8,2.18,208.5
2013,1,3,16,26.55,79.25,95.8,1.9,201.49
2013,1,3,17,25.82,83.94,95.84,1.74,201.95
2013,1,3,18,24.93,89.81,95.9,1.63,207.8
2013,1,3,19,24.26,92.88,95.96,1.63,211.72
2013,1,3,20,23.88,94.25,96.04,1.7,213.76
2013,1,3,21,23.61,95.19,96.07,1.74,213.12
2013,1,3,22,23.41,95.44,96.07,1.83,212.26
2013,1,3,23,23.2,95.19,96.03,1.89,214.22
2013,1,4,0,22.98,95,95.97,1.88,218.25
2013,1,4,1,22.73,94.81,95.89,1.86,221.93
2013,1,4,2,22.55,94.5,95.82,1.8,224.3
2013,1,4,3,22.39,94.06,95.79,1.71,226.85
2013,1,4,4,22.23,93.5,95.79,1.63,232.58
2013,1,4,5,22.12,92.94,95.83,1.62,237.38
2013,1,4,6,22.32,91.56,95.88,1.91,240.08
2013,1,4,7,23.25,88.25,95.94,2.06,238.96
2013,1,4,8,24.66,82.06,95.97,2.02,237.29
2013,1,4,9,25.97,76.62,95.97,2.08,238.52
2013,1,4,10,26.99,73.06,95.93,1.98,241.41
2013,1,4,11,27.48,73.25,95.86,1.69,248.64
2013,1,4,12,27.81,73.31,95.78,1.47,259.89
2013,1,4,13,27.87,74.06,95.7,1.45,270.92
2013,1,4,14,27.79,74.88,95.62,1.5,275.09
2013,1,4,15,27.58,76.56,95.57,1.44,271.87
2013,1,4,16,26.96,81.06,95.57,1.32,260.82
2013,1,4,17,26.29,86.38,95.61,1.2,246.95
2013,1,4,18,25.48,91.25,95.68,1.23,237.42
2013,1,4,19,24.92,93.31,95.75,1.4,232.68
2013,1,4,20,24.61,93.75,95.82,1.57,230.85
2013,1,4,21,24.37,93.38,95.84,1.73,229.76
2013,1,4,22,24.13,93.94,95.83,1.73,231.22
2013,1,4,23,23.93,94.38,95.78,1.63,232.97
2013,1,5,0,23.77,94.44,95.73,1.6,239.8
2013,1,5,1,23.68,94,95.68,1.59,249.25
2013,1,5,2,23.69,93.38,95.65,1.44,266.27
2013,1,5,3,23.69,93.75,95.66,1.34,297.91
2013,1,5,4,23.71,94.62,95.67,1.57,325.36
2013,1,5,5,23.81,94.94,95.7,1.87,333.43
