YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,1,7,25.11,91.88,99.12,3.5,232.34
2013,1,1,8,25.45,89.88,99.13,3.28,234.61
2013,1,1,9,25.8,88.0,99.12,3.05,238.63
2013,1,1,10,26.04,86.81,99.08,3.0,241.23
2013,1,1,11,26.22,86.12,99.03,3.15,243.31
2013,1,1,12,26.32,85.75,98.99,3.31,246.34
2013,1,1,13,26.26,86.06,98.94,3.48,249.37
2013,1,1,14,26.07,86.94,98.89,3.57,251.88
2013,1,1,15,25.79,88.25,98.87,3.45,253.41
2013,1,1,16,25.41,90.38,98.91,3.09,252.02
2013,1,1,17,24.93,93.19,98.97,2.32,249.06
2013,1,1,18,24.53,94.31,99.04,1.95,244.66
2013,1,1,19,24.44,94.12,99.09,1.83,239.5
2013,1,1,20,24.4,93.69,99.15,1.77,235.82
2013,1,1,21,24.34,93.5,99.16,1.76,236.94
2013,1,1,22,24.26,93.62,99.15,1.84,245.07
2013,1,1,23,24.16,93.94,99.11,1.97,255.74
2013,1,2,0,24.02,94.44,99.06,2.09,262.05
2013,1,2,1,23.92,94.69,99.01,2.14,264.98
2013,1,2,2,23.83,94.69,98.99,2.09,265.27
2013,1,2,3,23.82,94.19,99.0,1.94,264.22
2013,1,2,4,23.94,93.06,99.03,1.61,261.04
2013,1,2,5,24.27,91.5,99.08,1.15,257.85
2013,1,2,6,25.24,89.75,99.15,0.97,265.85
2013,1,2,7,26.42,82.62,99.2,1.14,284.23
2013,1,2,8,27.17,78.81,99.22,1.24,296.89
2013,1,2,9,27.77,76.12,99.21,1.24,303.39
2013,1,2,10,28.26,74.38,99.16,1.24,302.39
2013,1,2,11,28.56,73.25,99.09,1.33,295.81
2013,1,2,12,28.69,72.69,99.03,1.39,283.96
2013,1,2,13,28.64,73.12,98.98,1.55,261.58
2013,1,2,14,28.37,75.06,98.94,1.97,241.1
2013,1,2,15,27.78,79.75,98.94,2.37,227.27
2013,1,2,16,27.06,84.81,98.98,2.59,223.29
2013,1,2,17,26.26,89.62,99.05,2.71,219.51
2013,1,2,18,25.72,93.44,99.13,2.64,215.1
2013,1,2,19,25.5,94.5,99.22,2.78,212.48
2013,1,2,20,25.42,94.88,99.26,2.91,211.73
2013,1,2,21,25.34,95.19,99.27,3.08,215.3
2013,1,2,22,25.26,95.19,99.24,3.29,218.45
2013,1,2,23,25.12,95.38,99.2,3.36,222.08
2013,1,3,0,24.97,95.56,99.13,3.34,223.58
2013,1,3,1,24.73,95.75,99.08,3.15,222.08
2013,1,3,2,24.52,95.88,99.06,2.86,218.56
2013,1,3,3,24.4,95.81,99.07,2.58,212.63
2013,1,3,4,24.25,95.81,99.08,2.36,208.09
2013,1,3,5,24.24,95.5,99.12,2.2,206.29
2013,1,3,6,24.97,92.94,99.19,2.56,207.82
2013,1,3,7,25.46,90.19,99.25,2.56,214.81
2013,1,3,8,26.0,87.5,99.26,2.53,226.38
2013,1,3,9,26.56,85.0,99.24,2.76,235.86
2013,1,3,10,27.26,82.62,99.18,2.85,236.75
2013,1,3,11,27.62,81.0,99.11,2.71,231.55
2013,1,3,12,27.86,79.88,99.03,2.66,223.69
2013,1,3,13,27.95,79.06,98.95,2.68,217.67
2013,1,3,14,27.78,79.25,98.9,2.67,210.99
2013,1,3,15,27.26,81.88,98.89,2.52,197.87
2013,1,3,16,26.69,85.38,98.92,2.33,185.77
2013,1,3,17,26.02,89.19,98.98,1.95,177.01
2013,1,3,18,25.52,91.69,99.04,1.59,168.41
2013,1,3,19,25.33,92.0,99.09,1.53,160.27
2013,1,3,20,25.19,91.88,99.13,1.52,150.8
2013,1,3,21,25.05,91.75,99.11,1.57,141.07
2013,1,3,22,24.9,91.69,99.07,1.66,128.32
2013,1,3,23,24.72,91.88,99.0,1.74,114.38
2013,1,4,0,24.58,91.81,98.93,1.69,99.07
2013,1,4,1,24.55,91.25,98.88,1.46,85.39
2013,1,4,2,24.54,90.69,98.86,1.24,80.6
2013,1,4,3,24.48,90.56,98.86,1.2,80.23
2013,1,4,4,24.48,90.31,98.89,1.15,74.64
2013,1,4,5,24.55,90.44,98.95,1.08,68.43
2013,1,4,6,25.37,88.44,99.0,1.31,69.08
2013,1,4,7,26.62,84.12,99.01,1.37,64.61
2013,1,4,8,27.62,79.69,98.99,1.36,64.9
2013,1,4,9,28.36,77.31,98.95,1.38,57.75
2013,1,4,10,28.9,76.12,98.9,1.33,36.13
2013,1,4,11,29.24,76.06,98.83,1.22,8.49
2013,1,4,12,29.26,76.12,98.74,0.86,337.14
2013,1,4,13,28.75,79.38,98.66,0.71,268.74
2013,1,4,14,28.07,82.88,98.61,1.44,216.62
2013,1,4,15,27.24,87.75,98.57,2.38,196.59
2013,1,4,16,26.62,90.94,98.58,3.4,189.12
2013,1,4,17,26.14,93.31,98.61,4.19,187.07
2013,1,4,18,25.83,94.25,98.65,4.54,187.52
2013,1,4,19,25.68,94.56,98.7,4.48,187.62
2013,1,4,20,25.56,95.06,98.78,4.17,191.35
2013,1,4,21,25.43,95.56,98.85,3.96,201.3
2013,1,4,22,25.32,95.94,98.84,3.99,203.2
2013,1,4,23,25.24,95.88,98.79,3.76,203.1
2013,1,5,0,25.15,95.81,98.73,3.54,207.92
2013,1,5,1,25.12,95.56,98.69,3.55,210.29
2013,1,5,2,25.05,95.56,98.65,3.3,200.92
2013,1,5,3,24.95,95.62,98.63,2.66,187.77
2013,1,5,4,24.94,95.38,98.68,2.33,185.58
2013,1,5,5,25.04,94.81,98.76,2.36,186.28
2013,1,5,6,25.42,93.75,98.84,2.73,181.48
2013,1,5,7,25.75,93.0,98.91,2.53,174.69
2013,1,5,8,26.06,91.56,98.93,2.04,169.42
2013,1,5,9,26.45,88.94,98.93,1.34,153.73
2013,1,5,10,26.82,85.56,98.88,0.61,111.67
2013,1,5,11,26.94,83.88,98.83,0.47,34.22
2013,1,5,12,26.94,82.94,98.77,0.68,359.34
2013,1,5,13,26.85,82.69,98.72,0.68,20.94
2013,1,5,14,26.7,83.38,98.67,1.07,67.73
2013,1,5,15,26.48,85.69,98.66,1.73,83.0
2013,1,5,16,26.14,88.25,98.69,2.15,79.1
2013,1,5,17,25.6,91.62,98.75,2.34,74.11
2013,1,5,18,25.19,93.0,98.82,2.73,67.47
2013,1,5,19,25.04,93.19,98.87,3.28,59.22
2013,1,5,20,24.87,93.88,98.9,3.55,52.07
2013,1,5,21,24.73,94.44,98.91,3.44,46.29
2013,1,5,22,24.67,94.69,98.88,3.04,41.35
2013,1,5,23,24.62,94.75,98.82,2.61,31.02
2013,1,6,0,24.59,94.75,98.75,2.45,12.35
2013,1,6,1,24.57,94.81,98.71,2.43,354.09
2013,1,6,2,24.5,95.0,98.7,2.38,332.43
2013,1,6,3,24.36,95.44,98.73,2.49,306.19
2013,1,6,4,24.22,95.69,98.78,2.92,287.46
2013,1,6,5,24.17,95.38,98.83,3.16,272.83
2013,1,6,6,25.01,92.0,98.9,3.84,258.96
2013,1,6,7,25.58,88.19,98.96,4.53,262.57
2013,1,6,8,26.34,84.44,99.02,5.08,276.0
2013,1,6,9,27.1,80.56,99.02,5.54,285.78
2013,1,6,10,27.87,77.0,98.98,5.52,287.13
2013,1,6,11,28.55,74.06,98.92,5.33,284.26
2013,1,6,12,28.88,72.75,98.84,5.14,279.89
2013,1,6,13,28.93,72.56,98.79,5.17,273.81
2013,1,6,14,28.56,73.94,98.74,5.28,268.31
2013,1,6,15,28.01,77.19,98.75,5.06,263.8
2013,1,6,16,27.34,81.06,98.81,4.6,262.59
2013,1,6,17,26.36,86.75,98.9,4.02,265.32
2013,1,6,18,25.71,90.81,99.0,3.68,272.43
2013,1,6,19,25.46,92.31,99.06,3.7,284.04
2013,1,6,20,25.26,93.38,99.09,3.82,294.41
2013,1,6,21,25.08,93.88,99.07,4.15,300.58
2013,1,6,22,24.89,94.19,99.02,4.81,300.02
2013,1,6,23,24.71,94.62,98.93,5.87,292.95
2013,1,7,0,24.63,95.19,98.85,6.87,280.42
2013,1,7,1,24.7,94.94,98.8,7.59,266.34
2013,1,7,2,24.75,93.94,98.82,7.69,255.77
2013,1,7,3,24.69,93.38,98.84,7.27,251.64
