YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,1,7,25.37,89.19,98.8,3.64,276.77
2013,1,1,8,26.08,85.44,98.84,4.34,281.63
2013,1,1,9,26.81,81.62,98.83,5.03,286.52
2013,1,1,10,27.26,79.19,98.8,5.6,289.72
2013,1,1,11,27.47,78.0,98.75,6.12,290.93
2013,1,1,12,27.36,78.75,98.67,6.53,290.95
2013,1,1,13,27.09,80.38,98.61,6.81,289.16
2013,1,1,14,26.74,82.44,98.56,6.94,285.62
2013,1,1,15,26.35,84.56,98.55,6.74,280.08
2013,1,1,16,25.98,86.69,98.58,6.2,275.93
2013,1,1,17,25.57,89.44,98.64,5.29,272.96
2013,1,1,18,25.26,91.12,98.73,4.67,269.33
2013,1,1,19,25.17,91.44,98.8,4.41,265.43
2013,1,1,20,25.04,91.94,98.87,4.02,259.37
2013,1,1,21,24.86,92.38,98.92,3.35,250.93
2013,1,1,22,24.67,92.56,98.95,2.66,242.01
2013,1,1,23,24.48,92.62,98.91,2.47,239.63
2013,1,2,0,24.29,92.31,98.83,2.46,237.17
2013,1,2,1,24.15,91.62,98.75,2.3,228.85
2013,1,2,2,23.96,91.5,98.71,2.19,221.38
2013,1,2,3,23.78,91.31,98.7,1.96,224.03
2013,1,2,4,23.72,90.38,98.72,1.47,234.11
2013,1,2,5,23.74,89.56,98.78,0.99,257.18
2013,1,2,6,24.15,89.5,98.86,0.78,294.25
2013,1,2,7,24.73,87.12,98.94,1.1,320.19
2013,1,2,8,25.23,84.88,98.98,1.81,324.87
2013,1,2,9,25.68,84.0,98.97,2.52,326.26
2013,1,2,10,26.1,83.44,98.92,3.12,321.61
2013,1,2,11,26.56,82.5,98.86,3.76,313.48
2013,1,2,12,26.9,81.88,98.79,4.43,305.96
2013,1,2,13,26.95,82.38,98.74,4.92,298.44
2013,1,2,14,26.71,84.12,98.7,5.17,292.69
2013,1,2,15,26.35,86.44,98.69,5.21,288.9
2013,1,2,16,25.95,88.88,98.72,5.13,288.02
2013,1,2,17,25.55,91.25,98.77,4.69,288.77
2013,1,2,18,25.17,93.0,98.83,4.15,290.52
2013,1,2,19,25.01,93.31,98.9,3.99,291.95
2013,1,2,20,24.93,93.31,98.97,3.85,294.85
2013,1,2,21,24.84,93.56,98.99,3.64,297.61
2013,1,2,22,24.75,93.88,98.99,3.37,297.46
2013,1,2,23,24.63,94.31,98.94,3.13,294.78
2013,1,3,0,24.52,94.62,98.87,3.03,292.4
2013,1,3,1,24.43,94.75,98.8,2.97,291.1
2013,1,3,2,24.37,94.88,98.74,2.87,290.56
2013,1,3,3,24.33,94.94,98.71,2.71,289.53
2013,1,3,4,24.34,94.81,98.73,2.68,284.32
2013,1,3,5,24.39,94.75,98.76,2.76,276.66
2013,1,3,6,25.05,93.38,98.82,2.97,268.34
2013,1,3,7,25.58,91.44,98.88,3.67,262.28
2013,1,3,8,26.08,88.81,98.92,4.19,260.24
2013,1,3,9,26.66,85.31,98.92,4.63,259.3
2013,1,3,10,27.04,82.94,98.86,4.8,258.65
2013,1,3,11,27.35,80.88,98.79,4.87,257.86
2013,1,3,12,27.48,79.56,98.72,4.96,257.36
2013,1,3,13,27.32,79.81,98.64,4.96,255.88
2013,1,3,14,27.01,81.12,98.59,4.79,253.43
2013,1,3,15,26.63,82.75,98.57,4.49,251.31
2013,1,3,16,26.15,85.25,98.6,4.18,247.8
2013,1,3,17,25.62,88.69,98.66,3.68,245.01
2013,1,3,18,25.1,91.62,98.74,3.16,243.43
2013,1,3,19,24.97,92.19,98.81,3.03,242.84
2013,1,3,20,24.87,92.56,98.86,2.94,244.12
2013,1,3,21,24.79,92.75,98.87,2.99,248.25
2013,1,3,22,24.66,93.12,98.83,2.87,255.32
2013,1,3,23,24.55,93.56,98.77,2.8,262.3
2013,1,4,0,24.41,93.88,98.68,2.81,265.05
2013,1,4,1,24.29,93.94,98.66,2.19,262.62
2013,1,4,2,24.21,93.62,98.66,1.63,254.7
2013,1,4,3,24.11,93.94,98.62,1.7,257.81
2013,1,4,4,24.15,94.0,98.61,2.01,265.77
2013,1,4,5,24.27,93.94,98.64,2.34,269.43
2013,1,4,6,24.95,92.69,98.7,2.62,271.37
2013,1,4,7,25.67,90.0,98.76,3.5,275.76
2013,1,4,8,26.33,87.0,98.78,4.43,280.87
2013,1,4,9,26.99,83.88,98.75,5.32,286.38
2013,1,4,10,27.33,82.44,98.7,6.11,288.09
2013,1,4,11,27.32,83.0,98.64,6.8,286.42
2013,1,4,12,27.02,85.19,98.56,7.25,282.9
2013,1,4,13,26.73,87.12,98.49,7.51,279.39
2013,1,4,14,26.36,89.19,98.45,7.36,275.66
2013,1,4,15,26.04,91.06,98.43,6.84,270.98
2013,1,4,16,25.78,92.25,98.44,6.23,262.79
2013,1,4,17,25.48,92.62,98.48,5.86,252.63
2013,1,4,18,25.19,91.94,98.54,6.17,245.84
2013,1,4,19,24.99,90.56,98.62,6.87,245.42
2013,1,4,20,24.73,89.19,98.69,7.39,250.22
2013,1,4,21,24.37,88.94,98.71,7.61,256.33
2013,1,4,22,24.09,90.19,98.68,7.19,262.57
2013,1,4,23,23.97,92.0,98.63,6.62,267.5
2013,1,5,0,24.08,93.0,98.56,6.42,267.98
2013,1,5,1,24.26,92.94,98.5,6.47,265.29
2013,1,5,2,24.39,92.75,98.47,6.36,262.81
2013,1,5,3,24.42,92.5,98.5,5.92,262.04
2013,1,5,4,24.47,92.0,98.54,5.46,260.62
2013,1,5,5,24.49,91.25,98.59,5.0,259.57
2013,1,5,6,24.73,90.06,98.66,4.75,261.68
2013,1,5,7,25.14,88.12,98.72,5.07,264.88
2013,1,5,8,25.54,85.81,98.75,5.22,267.42
2013,1,5,9,26.03,83.75,98.74,5.08,267.35
2013,1,5,10,26.47,82.19,98.71,4.85,265.93
2013,1,5,11,26.69,81.12,98.67,4.53,262.76
2013,1,5,12,26.53,80.88,98.61,4.26,259.86
2013,1,5,13,26.23,81.06,98.56,4.18,262.49
2013,1,5,14,25.9,82.12,98.51,4.23,267.35
2013,1,5,15,25.58,83.62,98.51,4.12,271.09
2013,1,5,16,25.21,85.88,98.54,3.95,276.25
2013,1,5,17,24.75,89.62,98.61,3.56,284.1
2013,1,5,18,24.33,92.19,98.69,3.5,293.01
2013,1,5,19,24.27,92.44,98.77,3.79,299.42
