YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,1,7,26.67,85.06,100.64,5.22,292.15
2013,1,1,8,26.78,85.0,100.68,5.7,294.98
2013,1,1,9,26.89,85.44,100.67,6.25,296.5
2013,1,1,10,27.04,85.56,100.63,6.85,294.55
2013,1,1,11,27.2,85.12,100.58,7.55,289.84
2013,1,1,12,27.26,85.0,100.51,8.09,283.97
2013,1,1,13,27.3,84.69,100.45,8.32,277.18
2013,1,1,14,27.38,83.81,100.4,8.17,269.62
2013,1,1,15,27.43,83.31,100.39,7.82,261.72
2013,1,1,16,27.38,83.44,100.41,7.06,255.58
2013,1,1,17,27.18,84.56,100.48,6.0,252.04
2013,1,1,18,26.9,85.75,100.57,5.18,249.87
2013,1,1,19,26.78,86.12,100.65,4.75,249.3
2013,1,1,20,26.63,86.62,100.72,4.3,248.01
2013,1,1,21,26.48,86.81,100.75,3.83,244.22
2013,1,1,22,26.33,86.88,100.76,3.33,238.51
2013,1,1,23,26.12,87.06,100.74,2.79,231.59
2013,1,2,0,25.94,87.25,100.65,2.75,233.33
2013,1,2,1,25.86,87.06,100.57,2.72,233.66
2013,1,2,2,25.75,86.94,100.52,2.55,230.71
2013,1,2,3,25.61,87.12,100.51,2.36,232.67
2013,1,2,4,25.46,87.12,100.55,1.89,240.05
2013,1,2,5,25.39,87.06,100.61,1.46,258.27
2013,1,2,6,25.55,87.25,100.69,1.4,280.93
2013,1,2,7,25.79,86.44,100.76,1.72,295.63
2013,1,2,8,25.98,86.62,100.81,2.25,303.52
2013,1,2,9,26.18,87.25,100.81,2.96,305.75
2013,1,2,10,26.39,87.69,100.76,3.78,303.03
2013,1,2,11,26.62,87.75,100.7,4.62,300.6
2013,1,2,12,26.82,87.31,100.65,5.34,299.15
2013,1,2,13,26.89,87.12,100.6,5.71,297.02
2013,1,2,14,26.84,87.19,100.56,5.76,294.93
2013,1,2,15,26.73,87.62,100.55,5.65,293.91
2013,1,2,16,26.62,88.12,100.56,5.52,294.42
2013,1,2,17,26.53,88.81,100.61,5.24,295.53
2013,1,2,18,26.4,89.44,100.67,4.99,296.32
2013,1,2,19,26.39,89.56,100.74,4.94,296.48
2013,1,2,20,26.4,89.69,100.8,4.98,297.49
2013,1,2,21,26.4,89.88,100.83,5.0,298.89
2013,1,2,22,26.36,90.19,100.81,4.82,298.48
2013,1,2,23,26.29,90.44,100.77,4.53,297.32
2013,1,3,0,26.2,90.81,100.7,4.37,296.2
2013,1,3,1,26.11,91.25,100.63,4.33,294.39
2013,1,3,2,26.08,91.38,100.57,4.32,292.07
2013,1,3,3,26.08,91.38,100.54,4.26,289.36
2013,1,3,4,26.15,91.06,100.55,4.21,283.29
2013,1,3,5,26.22,90.75,100.58,4.21,275.0
2013,1,3,6,26.46,90.12,100.65,4.31,266.26
2013,1,3,7,26.73,89.0,100.71,4.7,258.97
2013,1,3,8,26.9,88.06,100.76,4.96,254.36
2013,1,3,9,27.06,87.06,100.76,5.15,251.51
2013,1,3,10,27.18,86.12,100.71,5.06,250.53
2013,1,3,11,27.26,85.19,100.65,4.87,250.2
2013,1,3,12,27.3,84.38,100.58,4.7,250.78
2013,1,3,13,27.28,84.25,100.5,4.61,251.41
2013,1,3,14,27.26,84.06,100.43,4.5,251.06
2013,1,3,15,27.19,84.12,100.41,4.3,251.0
2013,1,3,16,27.06,84.62,100.43,4.2,249.78
2013,1,3,17,26.88,85.88,100.5,4.08,248.44
2013,1,3,18,26.62,87.56,100.57,3.84,247.61
2013,1,3,19,26.55,88.0,100.64,3.77,246.04
2013,1,3,20,26.48,88.38,100.69,3.69,246.15
2013,1,3,21,26.4,88.81,100.71,3.72,249.74
2013,1,3,22,26.27,89.38,100.68,3.63,256.68
2013,1,3,23,26.14,90.19,100.61,3.62,263.93
2013,1,4,0,26.02,90.94,100.52,3.81,267.65
2013,1,4,1,25.95,91.19,100.47,3.61,267.27
2013,1,4,2,25.88,90.88,100.47,2.73,262.26
2013,1,4,3,25.84,90.62,100.46,2.28,262.7
2013,1,4,4,25.94,90.62,100.44,2.74,269.84
2013,1,4,5,26.15,90.5,100.47,3.53,271.9
2013,1,4,6,26.5,89.88,100.53,4.0,273.14
2013,1,4,7,26.86,88.75,100.58,4.57,275.1
2013,1,4,8,27.07,88.19,100.6,5.29,277.21
2013,1,4,9,27.19,88.25,100.59,6.09,278.41
2013,1,4,10,27.19,89.0,100.54,6.75,278.32
2013,1,4,11,27.14,89.5,100.48,7.32,277.29
2013,1,4,12,27.11,89.31,100.41,7.78,274.84
2013,1,4,13,27.07,89.0,100.35,7.95,272.08
2013,1,4,14,26.99,89.0,100.29,7.82,268.63
2013,1,4,15,26.87,89.0,100.26,7.55,263.11
2013,1,4,16,26.69,88.62,100.27,7.47,254.54
2013,1,4,17,26.5,87.44,100.32,7.75,247.29
2013,1,4,18,26.35,85.75,100.4,8.17,245.49
2013,1,4,19,26.27,84.25,100.49,8.32,248.81
2013,1,4,20,26.26,83.44,100.55,8.14,253.72
2013,1,4,21,26.18,84.25,100.55,7.89,257.93
2013,1,4,22,26.08,86.19,100.51,7.7,259.95
2013,1,4,23,26.15,87.56,100.46,7.58,260.87
2013,1,5,0,26.3,87.62,100.4,7.87,260.4
2013,1,5,1,26.34,87.25,100.34,8.04,259.7
2013,1,5,2,26.33,86.62,100.32,7.74,260.59
2013,1,5,3,26.29,86.06,100.33,7.01,262.95
2013,1,5,4,26.23,85.81,100.38,6.2,264.29
2013,1,5,5,26.18,85.81,100.42,5.49,265.26
2013,1,5,6,26.3,85.5,100.49,5.04,267.33
2013,1,5,7,26.52,84.69,100.55,5.0,269.64
2013,1,5,8,26.66,84.56,100.58,4.98,270.45
2013,1,5,9,26.78,84.81,100.58,4.96,269.01
2013,1,5,10,26.83,85.19,100.54,4.92,268.27
2013,1,5,11,26.78,85.62,100.49,4.71,268.0
2013,1,5,12,26.55,86.56,100.44,4.39,266.94
2013,1,5,13,26.3,87.44,100.39,4.21,267.77
2013,1,5,14,26.1,88.38,100.35,4.3,270.31
2013,1,5,15,25.99,88.94,100.34,4.5,273.48
2013,1,5,16,25.95,89.31,100.37,4.64,277.26
2013,1,5,17,25.89,90.0,100.45,4.54,282.22
2013,1,5,18,25.81,90.44,100.53,4.54,288.25
2013,1,5,19,25.84,89.94,100.6,4.69,293.27
2013,1,5,20,25.89,89.38,100.62,4.75,295.76
2013,1,5,21,25.9,89.12,100.62,4.68,295.2
2013,1,5,22,25.86,89.19,100.59,4.34,296.29
2013,1,5,23,25.77,89.25,100.51,3.73,304.32
2013,1,6,0,25.69,89.19,100.4,3.2,318.56
2013,1,6,1,25.53,89.56,100.31,2.86,331.48
2013,1,6,2,25.4,89.88,100.28,2.32,346.95
2013,1,6,3,25.43,90.12,100.27,1.72,17.2
2013,1,6,4,25.51,90.25,100.3,1.23,66.37
2013,1,6,5,25.49,90.56,100.37,1.36,158.01
2013,1,6,6,25.68,90.88,100.47,3.46,200.19
2013,1,6,7,25.95,89.5,100.59,5.61,211.39
2013,1,6,8,25.96,87.81,100.67,6.07,219.26
2013,1,6,9,26.0,85.94,100.7,5.88,227.53
2013,1,6,10,26.22,84.12,100.68,5.66,240.28
2013,1,6,11,26.64,82.38,100.64,5.76,251.84
2013,1,6,12,27.0,81.44,100.56,6.01,257.08
2013,1,6,13,27.16,80.88,100.49,6.11,255.04
2013,1,6,14,27.22,80.19,100.45,6.13,250.41
2013,1,6,15,27.15,79.38,100.45,5.97,247.46
2013,1,6,16,27.03,79.0,100.49,5.64,249.33
2013,1,6,17,26.85,79.56,100.56,5.23,255.55
2013,1,6,18,26.65,80.31,100.64,5.01,262.39
2013,1,6,19,26.66,80.19,100.69,5.05,266.9
2013,1,6,20,26.66,80.62,100.75,5.26,271.36
2013,1,6,21,26.61,81.56,100.78,5.91,275.08
2013,1,6,22,26.36,82.62,100.8,6.58,277.02
2013,1,6,23,25.97,83.19,100.77,6.57,278.34
2013,1,7,0,25.61,83.38,100.71,5.73,279.81
2013,1,7,1,25.44,82.62,100.65,4.7,280.06
2013,1,7,2,25.58,80.56,100.59,4.14,279.02
2013,1,7,3,25.88,78.81,100.55,4.04,278.33
2013,1,7,4,26.16,78.44,100.54,3.97,280.67
2013,1,7,5,26.37,79.31,100.57,3.84,285.45
2013,1,7,6,26.81,80.62,100.61,3.62,289.53
2013,1,7,7,27.33,79.62,100.65,3.74,291.47
2013,1,7,8,27.66,79.25,100.67,3.87,292.53
2013,1,7,9,27.93,79.31,100.67,3.94,292.6
2013,1,7,10,28.08,79.12,100.64,4.2,288.54
2013,1,7,11,28.12,79.44,100.61,4.55,283.2
2013,1,7,12,28.09,79.81,100.57,4.69,278.33
2013,1,7,13,28.01,80.44,100.51,4.85,273.7
2013,1,7,14,27.85,81.25,100.47,5.03,270.98
2013,1,7,15,27.7,81.81,100.46,4.95,268.92
2013,1,7,16,27.5,82.62,100.51,4.7,265.62
2013,1,7,17,27.19,84.56,100.6,4.49,263.01
2013,1,7,18,26.9,86.25,100.67,4.44,261.09
2013,1,7,19,26.81,86.56,100.72,4.56,258.54
2013,1,7,20,26.83,86.31,100.75,4.68,259.12
2013,1,7,21,26.87,86.12,100.74,4.84,260.43
2013,1,7,22,26.93,86.06,100.7,4.98,261.16
2013,1,7,23,26.94,86.12,100.64,5.22,262.61
2013,1,8,0,27.01,85.62,100.57,5.58,264.13
2013,1,8,1,27.08,84.88,100.5,6.0,266.27
2013,1,8,2,27.1,84.44,100.47,6.33,267.95
2013,1,8,3,27.1,84.25,100.46,6.4,268.25
2013,1,8,4,27.15,83.69,100.5,6.16,266.58
2013,1,8,5,27.21,83.06,100.56,5.77,265.11
2013,1,8,6,27.5,82.44,100.63,5.45,264.24
2013,1,8,7,27.86,80.75,100.7,5.49,264.86
2013,1,8,8,28.04,79.69,100.74,5.57,267.99
2013,1,8,9,28.2,79.12,100.75,5.64,271.59
2013,1,8,10,28.3,79.06,100.73,6.09,274.78
2013,1,8,11,28.3,79.25,100.69,6.78,276.15
2013,1,8,12,28.26,79.31,100.63,7.39,276.19
2013,1,8,13,28.19,79.5,100.56,7.76,275.84
2013,1,8,14,28.05,80.12,100.5,7.89,275.06
2013,1,8,15,27.83,81.5,100.48,7.9,274.2
2013,1,8,16,27.58,83.31,100.5,7.64,272.58
2013,1,8,17,27.28,85.12,100.57,7.25,270.43
2013,1,8,18,27.0,85.94,100.65,7.13,268.24
2013,1,8,19,26.87,85.94,100.7,7.14,266.99
2013,1,8,20,26.8,85.5,100.75,7.12,266.35
2013,1,8,21,26.76,84.94,100.76,7.02,265.41
2013,1,8,22,26.75,84.44,100.74,6.66,264.48
2013,1,8,23,26.7,84.25,100.67,6.3,263.52
2013,1,9,0,26.64,84.06,100.59,6.09,262.48
2013,1,9,1,26.56,84.06,100.53,5.9,262.92
2013,1,9,2,26.44,84.44,100.5,5.63,264.59
2013,1,9,3,26.31,85.25,100.51,5.34,267.06
2013,1,9,4,26.19,86.31,100.55,5.34,265.47
2013,1,9,5,26.19,86.88,100.6,5.66,261.98
2013,1,9,6,26.4,86.62,100.65,6.17,259.27
2013,1,9,7,26.61,85.88,100.69,6.79,257.79
2013,1,9,8,26.73,85.12,100.71,7.45,258.69
2013,1,9,9,26.81,84.19,100.71,8.1,261.57
2013,1,9,10,26.85,83.38,100.69,8.74,266.16
2013,1,9,11,26.82,83.0,100.64,9.16,270.44
2013,1,9,12,26.74,83.25,100.58,9.44,272.56
2013,1,9,13,26.62,83.81,100.5,9.69,273.1
2013,1,9,14,26.49,84.5,100.45,9.8,273.2
2013,1,9,15,26.4,85.38,100.44,9.73,273.41
2013,1,9,16,26.32,86.5,100.48,9.66,274.59
2013,1,9,17,26.29,87.06,100.54,9.69,276.76
2013,1,9,18,26.29,87.0,100.6,9.74,278.99
2013,1,9,19,26.24,86.69,100.65,9.8,280.52
2013,1,9,20,26.23,86.0,100.69,9.78,280.68
2013,1,9,21,26.26,85.81,100.69,9.6,279.65
2013,1,9,22,26.29,86.12,100.65,9.24,278.56
2013,1,9,23,26.35,86.5,100.58,8.87,276.77
2013,1,10,0,26.46,86.62,100.5,8.52,272.36
2013,1,10,1,26.51,86.94,100.43,8.42,267.02
2013,1,10,2,26.55,87.06,100.38,8.71,262.95
2013,1,10,3,26.58,87.06,100.37,9.29,264.4
2013,1,10,4,26.62,86.62,100.41,9.66,267.64
2013,1,10,5,26.58,86.06,100.46,9.77,269.68
2013,1,10,6,26.69,85.31,100.52,9.79,269.5
2013,1,10,7,26.98,84.44,100.58,9.84,267.59
2013,1,10,8,27.24,83.62,100.61,10.14,265.76
2013,1,10,9,27.46,82.94,100.62,10.47,264.91
2013,1,10,10,27.6,82.44,100.58,10.49,265.26
2013,1,10,11,27.71,81.94,100.52,10.34,265.5
2013,1,10,12,27.76,81.5,100.44,10.23,265.05
2013,1,10,13,27.7,81.88,100.35,10.02,264.72
2013,1,10,14,27.64,81.94,100.31,9.75,263.88
2013,1,10,15,27.58,81.69,100.32,9.27,262.98
2013,1,10,16,27.4,82.19,100.37,9.12,264.25
2013,1,10,17,27.14,83.44,100.43,8.96,266.45
2013,1,10,18,26.94,84.62,100.51,8.41,268.08
2013,1,10,19,26.9,85.0,100.56,7.96,269.44
2013,1,10,20,26.9,85.25,100.59,7.73,270.06
2013,1,10,21,26.89,85.25,100.6,8.12,269.12
2013,1,10,22,26.94,84.88,100.6,8.83,269.9
2013,1,10,23,26.98,84.5,100.57,9.37,271.96
2013,1,11,0,26.96,84.69,100.52,9.61,274.52
2013,1,11,1,26.9,85.19,100.45,9.82,276.67
2013,1,11,2,26.84,85.69,100.42,9.91,278.43
2013,1,11,3,26.84,85.81,100.42,9.73,279.61
2013,1,11,4,26.88,85.69,100.46,9.33,280.76
2013,1,11,5,26.94,85.69,100.52,8.95,282.04
2013,1,11,6,27.1,85.88,100.58,9.02,282.65
2013,1,11,7,27.29,86.0,100.65,9.47,282.63
2013,1,11,8,27.37,86.12,100.68,9.85,282.18
2013,1,11,9,27.42,86.12,100.68,10.12,282.35
2013,1,11,10,27.48,85.31,100.66,10.05,283.35
2013,1,11,11,27.55,84.19,100.63,9.86,284.79
2013,1,11,12,27.68,82.62,100.56,9.76,286.55
2013,1,11,13,27.76,81.75,100.48,9.58,290.22
2013,1,11,14,27.78,81.81,100.4,9.48,296.63
2013,1,11,15,27.72,82.38,100.37,9.95,302.47
2013,1,11,16,27.58,83.25,100.42,10.73,302.06
2013,1,11,17,27.34,84.06,100.52,11.04,296.38
2013,1,11,18,27.08,84.56,100.64,10.8,287.91
2013,1,11,19,26.98,84.69,100.73,10.18,280.44
2013,1,11,20,26.98,85.0,100.78,9.46,276.78
2013,1,11,21,27.07,85.81,100.76,8.97,280.08
2013,1,11,22,27.16,87.31,100.71,8.91,286.19
2013,1,11,23,27.2,87.81,100.65,9.33,290.38
2013,1,12,0,27.19,87.25,100.59,9.68,292.05
2013,1,12,1,27.19,86.38,100.56,9.84,292.74
2013,1,12,2,27.13,86.06,100.54,9.77,293.67
2013,1,12,3,27.08,85.44,100.55,9.7,294.21
2013,1,12,4,27.05,84.81,100.59,9.53,295.24
2013,1,12,5,27.03,84.62,100.66,9.18,297.35
2013,1,12,6,27.09,84.5,100.72,8.92,299.82
2013,1,12,7,27.36,83.62,100.78,9.05,301.73
2013,1,12,8,27.62,82.38,100.8,9.25,303.07
2013,1,12,9,27.88,81.38,100.8,9.34,304.61
2013,1,12,10,28.02,81.12,100.78,9.43,304.7
2013,1,12,11,28.06,81.06,100.72,9.57,303.17
2013,1,12,12,28.11,80.88,100.63,9.61,301.34
2013,1,12,13,28.07,81.12,100.53,9.57,299.22
2013,1,12,14,27.98,81.75,100.44,9.44,297.24
2013,1,12,15,27.84,82.81,100.44,9.27,296.26
2013,1,12,16,27.66,84.06,100.48,9.1,295.53
2013,1,12,17,27.53,84.81,100.55,8.82,295.09
2013,1,12,18,27.37,85.44,100.64,8.64,295.08
2013,1,12,19,27.3,85.44,100.72,8.78,295.06
2013,1,12,20,27.21,85.38,100.78,8.93,295.15
2013,1,12,21,27.14,85.31,100.8,9.0,296.12
2013,1,12,22,27.04,85.75,100.77,9.08,298.17
2013,1,12,23,26.94,86.38,100.69,9.1,299.69
2013,1,13,0,26.9,86.44,100.6,8.97,300.41
2013,1,13,1,26.98,86.0,100.54,8.81,299.91
2013,1,13,2,27.05,85.81,100.51,8.67,299.25
2013,1,13,3,27.05,86.06,100.51,8.53,298.79
2013,1,13,4,27.05,86.31,100.53,8.23,299.02
2013,1,13,5,27.11,85.94,100.59,7.96,299.46
2013,1,13,6,27.23,85.69,100.65,7.9,299.89
2013,1,13,7,27.48,85.0,100.69,8.0,300.9
2013,1,13,8,27.65,84.19,100.69,8.24,301.63
2013,1,13,9,27.84,83.44,100.66,8.5,301.23
2013,1,13,10,28.01,82.69,100.62,8.72,299.83
2013,1,13,11,28.13,81.94,100.57,8.96,297.71
2013,1,13,12,28.1,82.19,100.51,9.26,296.61
2013,1,13,13,28.05,82.5,100.44,9.48,296.76
2013,1,13,14,27.87,83.31,100.4,9.56,298.62
2013,1,13,15,27.55,85.0,100.42,9.52,302.02
2013,1,13,16,27.3,86.62,100.48,9.71,304.24
2013,1,13,17,27.11,87.88,100.53,9.94,304.1
2013,1,13,18,26.95,88.75,100.57,9.81,302.04
2013,1,13,19,26.9,89.06,100.64,9.07,298.37
2013,1,13,20,26.86,89.44,100.68,8.07,296.94
2013,1,13,21,26.9,89.56,100.68,7.31,299.88
2013,1,13,22,26.95,88.94,100.64,7.06,304.53
2013,1,13,23,26.99,88.19,100.58,7.06,308.71
2013,1,14,0,27.0,87.5,100.51,7.06,311.5
2013,1,14,1,26.99,86.69,100.45,7.08,313.88
2013,1,14,2,27.0,86.0,100.42,7.03,318.2
2013,1,14,3,27.01,85.56,100.42,6.83,325.26
2013,1,14,4,27.01,85.38,100.46,6.59,330.12
2013,1,14,5,26.98,85.5,100.54,6.54,329.64
2013,1,14,6,27.26,85.19,100.63,6.78,327.04
2013,1,14,7,27.5,84.56,100.67,7.3,324.93
2013,1,14,8,27.62,84.0,100.66,7.67,322.91
2013,1,14,9,27.69,83.44,100.63,7.9,317.97
2013,1,14,10,27.71,83.31,100.61,8.12,311.88
2013,1,14,11,27.69,83.44,100.57,8.02,308.35
2013,1,14,12,27.63,83.69,100.52,7.52,305.66
2013,1,14,13,27.55,84.19,100.47,6.87,301.03
2013,1,14,14,27.45,84.81,100.45,6.16,292.76
2013,1,14,15,27.32,85.56,100.46,5.46,282.48
2013,1,14,16,27.25,86.06,100.5,4.78,272.25
2013,1,14,17,27.18,86.69,100.55,4.4,261.83
